Variance,Energy,Patients
99.53703703703704,99.45987654320987,chb01
99.36427209154482,99.17355371900827,chb02
99.14021164021165,99.02116402116403,chb03
99.64372610358012,99.62634688912061,chb04
99.12962962962963,99.11111111111111,chb05
99.82835687466476,99.82835687466476,chb06
99.88731817250563,99.82585535750871,chb07
97.57407407407406,97.55555555555556,chb08
99.82608695652175,99.80676328502416,chb09
99.66974900924703,99.64332892998678,chb10
98.97282968853546,99.00596421471172,chb11
99.40476190476191,99.43121693121692,chb14
